;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV205;Nowy Gdansk;;;;;;;;;;x;;;;
PROV300;Lundenburg;;;;;;;;;;x;;;;
PROV293;Caesaromagus;;;;;;;;;;x;;;;
PROV292;Gippa's Wic;;;;;;;;;;x;;;;
PROV291;Gyrwas;;;;;;;;;;x;;;;
PROV290;Lincylene;;;;;;;;;;x;;;;
PROV289;Laegrecastrescir;;;;;;;;;;x;;;;
PROV288;Snotingeham;;;;;;;;;;x;;;;
PROV302;Brichtelmeston;;;;;;;;;;x;;;;
PROV301;Cantwaraburh;;;;;;;;;;x;;;;
PROV3269;Portesmutha;;;;;;;;;;x;;;;
PROV294;Oxnaford;;;;;;;;;;x;;;;
PROV303;Hamton;;;;;;;;;;x;;;;
PROV297;Searoburh;;;;;;;;;;x;;;;
PROV296;Bricstow;;;;;;;;;;x;;;;
PROV298;Bathan;;;;;;;;;;x;;;;
PROV3268;Isca Chester;;;;;;;;;;x;;;;
PROV299;Sutton;;;;;;;;;;x;;;;
PROV273;Caerdiff;;;;;;;;;;x;;;;
PROV286;Scrobbesbyrig;;;;;;;;;;x;;;;
PROV276;Ty Mawr;;;;;;;;;;x;;;;
PROV274;Ceredigion;;;;;;;;;;x;;;;
PROV287;Cofas's Treo;;;;;;;;;;x;;;;
PROV284;Beormingaham;;;;;;;;;;x;;;;
PROV285;Legeceaster;;;;;;;;;;x;;;;
PROV278;Mameceaster;;;;;;;;;;x;;;;
PROV277;Liuerpul;;;;;;;;;;x;;;;
PROV283;Escafeld;;;;;;;;;;x;;;;
PROV281;Skrog;;;;;;;;;;x;;;;
PROV279;Lancashire North of the Sands;;;;;;;;;;x;;;;
PROV15;Beorhtródor Hlisa;;;;;;;;;;x;;;;
PROV148;Byrthenbeorn;;;;;;;;;;x;;;;
PROV163;Hramsa;;;;;;;;;;x;;;;
PROV165;Campstede;;;;;;;;;;x;;;;
PROV166;Byrpling;;;;;;;;;;x;;;;
PROV167;Celdefeld;;;;;;;;;;x;;;;
PROV168;Colfeld;;;;;;;;;;x;;;;
PROV169;Indiscburg;;;;;;;;;;x;;;;
PROV170;Evancastle;;;;;;;;;;x;;;;
PROV171;Suplandbyge;;;;;;;;;;x;;;;
PROV172;Fort Wegn;;;;;;;;;;x;;;;
PROV173;Nearunes;;;;;;;;;;x;;;;
PROV174;Micellic Gecwide;;;;;;;;;;x;;;;
PROV175;Oginiwic;;;;;;;;;;x;;;;
PROV176;Geondferan Burg;;;;;;;;;;x;;;;
PROV178;Cliffeld;;;;;;;;;;x;;;;
PROV180;Mealmscimian;;;;;;;;;;x;;;;
PROV181;Daegburg;;;;;;;;;;x;;;;
PROV182;Ceapfeax;;;;;;;;;;x;;;;
PROV183;Hlaefdigecwén;;;;;;;;;;x;;;;
PROV184;Firburg;;;;;;;;;;x;;;;
PROV185;Blacernburg;;;;;;;;;;x;;;;
PROV186;Bollanggrénnes;;;;;;;;;;x;;;;
PROV187;Pecnosl;;;;;;;;;;x;;;;
PROV188;Aescburg;;;;;;;;;;x;;;;
PROV189;Faeger;;;;;;;;;;x;;;;
PROV190;Anginnbeorgeburg;;;;;;;;;;x;;;;
PROV203;Scyrte;;;;;;;;;;x;;;;
PROV207;Grénnesburg;;;;;;;;;;x;;;;
PROV208;Daing;;;;;;;;;;x;;;;
PROV60;Olfendcliewen;;;;;;;;;;x;;;;
PROV212;Andweorcforgietan;;;;;;;;;;x;;;;
PROV690;Gdansk;;;;;;;;;;x;;;;
PROV3275;Nevsehir;;;;;;;;;;x;;;;
PROV3276;Kirikkale;;;;;;;;;;x;;;;
PROV3277;Alanya;;;;;;;;;;x;;;;
PROV3278;Derinkuyu;;;;;;;;;;x;;;;
PROV3279;Osmaniye;;;;;;;;;;x;;;;
PROV3280;Hekimhan;;;;;;;;;;x;;;;
PROV3281;Refahiye;;;;;;;;;;x;;;;
PROV3282;Rize;;;;;;;;;;x;;;;
